"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",7.50745549723097e-171,2.73058907006102,0.838,0.285,2.529562055237e-166,"0","MB"
"2",8.37901020868698e-112,2.74244773606164,0.483,0.095,2.82322369971499e-107,"0","CYP4B1"
"3",1.48773751391721e-101,2.84996784849502,0.535,0.144,5.01278277939266e-97,"0","AMIGO2"
"4",7.26491531692696e-95,3.72259490621612,0.493,0.125,2.44784056688537e-90,"0","BPIFB1"
"5",2.87137910304639e-91,2.99531435142238,0.446,0.105,9.67482474980452e-87,"0","PCED1B"
"6",1.32294832952055e-86,3.21392701661463,0.371,0.07,4.45754210148655e-82,"0","PIP"
"7",1.61095103471079e-78,2.85618861431339,0.355,0.07,5.42793841635454e-74,"0","RP11-637A17.2"
"8",8.64827158658433e-74,3.95153530889183,0.26,0.036,2.91394862838372e-69,"0","ZNF350-AS1"
"9",4.6652587964918e-66,3.30022052467009,0.365,0.091,1.57191229888995e-61,"0","SCGB2A1"
"10",9.93546997845767e-29,4.9190552775645,0.036,0.267,3.34765725454153e-24,"0","IGKC"
"11",7.68685869461308e-232,5.06191606233719,0.865,0.232,2.59001016856293e-227,"1","ACP5"
"12",2.195840860192e-188,5.06585587468945,0.565,0.07,7.39866619433092e-184,"1","CXCL8"
"13",2.98799648688813e-161,4.49646339588801,0.419,0.033,1.00677553629209e-156,"1","CLEC4E"
"14",1.63255105916444e-154,5.35990170140443,0.45,0.049,5.50071753874866e-150,"1","CXCL3"
"15",5.4743726249349e-152,4.60212084706919,0.519,0.077,1.84453511224557e-147,"1","RP11-1143G9.4"
"16",7.12978100762872e-144,4.70924641184329,0.375,0.029,2.40230841271042e-139,"1","OTOA"
"17",1.30100855925115e-119,5.56780476049823,0.259,0.011,4.38361823954082e-115,"1","AQP9"
"18",5.66323748508254e-115,4.88605101378852,0.293,0.02,1.90817123822371e-110,"1","FOLR2"
"19",1.83078564043037e-108,7.66896007206227,0.29,0.024,6.16864913686608e-104,"1","CCL18"
"20",1.10648809446321e-103,4.29189199496126,0.306,0.03,3.72820098548433e-99,"1","MATK"
"21",3.1834983033156e-206,3.4078491215021,0.813,0.137,1.07264791831916e-201,"2","MUC6"
"22",2.30752153343784e-167,3.13650201307743,0.601,0.073,7.77496305476545e-163,"2","AC008268.1"
"23",7.10443134251422e-160,3.52517181485876,0.648,0.105,2.39376709654674e-155,"2","RP11-588G21.2"
"24",3.17290335089661e-148,3.29065272210787,0.525,0.063,1.06907805505111e-143,"2","ADCY1"
"25",6.61329708292171e-122,3.29100939086599,0.408,0.042,2.22828431911964e-117,"2","PLIN5"
"26",1.3869257156136e-113,3.51019035745082,0.399,0.045,4.67310750618848e-109,"2","PDZK1"
"27",6.93376438981277e-112,3.38439660740985,0.506,0.086,2.33626257350352e-107,"2","ARC"
"28",1.52108680078263e-104,3.14278903485466,0.397,0.05,5.12514986655701e-100,"2","PLAC1"
"29",1.42303016548279e-97,3.31166970415335,0.338,0.036,4.79475783957772e-93,"2","DOK7"
"30",3.48729643464319e-86,3.12206113892297,0.327,0.04,1.17500966068868e-81,"2","SLITRK6"
"31",0,6.53019962375967,0.712,0.013,0,"3","SOHLH1"
"32",0,6.95261273840889,0.621,0.012,0,"3","C1QL4"
"33",4.85888956407856e-284,5.99823469785136,0.824,0.086,1.63715424972063e-279,"3","SBSPON"
"34",3.91930683791454e-265,6.51716274194731,0.464,0.006,1.32057124596693e-260,"3","LINC00162"
"35",3.11190046073949e-248,6.19015469961678,0.451,0.007,1.04852374124156e-243,"3","SUN3"
"36",4.81822067254761e-220,6.08101702369555,0.467,0.017,1.62345127340819e-215,"3","DLX5"
"37",2.99254393020919e-195,5.78510266922292,0.451,0.021,1.00830775184468e-190,"3","COL11A2"
"38",2.7034575246291e-183,6.12585645854873,0.343,0.006,9.1090297834853e-179,"3","HAPLN1"
"39",5.75253629372468e-160,6.58190629710679,0.275,0.002,1.93825957880759e-155,"3","LINC00392"
"40",8.69652822590336e-149,6.47000549775936,0.278,0.005,2.93020822043588e-144,"3","GDPD2"
"41",0,5.0996281398769,0.727,0.025,0,"4","ZFP57"
"42",3.59864499295252e-230,5.22976845174978,0.494,0.015,1.21252744392542e-225,"4","AP001626.1"
"43",1.74410356652499e-190,4.97196816809304,0.429,0.015,5.87658255704931e-186,"4","HOXA11-AS"
"44",4.09273680578933e-184,5.21090832533452,0.392,0.011,1.37900673934266e-179,"4","CTD-2023N9.3"
"45",3.8847778627843e-183,5.08906505405854,0.457,0.021,1.30893705308654e-178,"4","GPT"
"46",6.85090127097528e-159,4.79475073178098,0.339,0.009,2.30834267424241e-154,"4","SPAG11A"
"47",3.73748476324334e-148,4.7924428703809,0.318,0.009,1.25930811612721e-143,"4","SPAG11B"
"48",4.78223562023672e-144,5.62703434211266,0.282,0.006,1.61132646988256e-139,"4","AMER2"
"49",1.61165744271828e-137,5.36943972418349,0.278,0.006,5.43031858749498e-133,"4","HMX2"
"50",1.98880016336985e-133,4.77248071543989,0.294,0.009,6.70106327045837e-129,"4","HOXA11"
"51",0,7.99894175347312,1,0.075,0,"5","IGF1"
"52",0,8.00664789083106,0.983,0.075,0,"5","CXCL14"
"53",0,7.73179440584384,0.766,0.007,0,"5","CXCL6"
"54",0,8.72754800640241,0.762,0.018,0,"5","DLK1"
"55",0,7.95166837339681,0.644,0.008,0,"5","TNN"
"56",0,8.08658773134511,0.552,0.003,0,"5","APELA"
"57",3.01835655582464e-311,8.92122091062612,0.494,0.002,1.01700505791955e-306,"5","ALX4"
"58",6.97560377777915e-280,9.14388129396474,0.435,0.001,2.35035993688491e-275,"5","LINC00445"
"59",8.57703281208911e-219,8.03450290632665,0.36,0.002,2.88994543570531e-214,"5","NTRK1"
"60",3.74834701297439e-171,7.84408940229187,0.276,0.001,1.26296804255159e-166,"5","HPSE2"
"61",2.65361432246098e-218,4.7970968519444,0.614,0.039,8.94108809810004e-214,"6","PLD4"
"62",7.22319954355559e-208,3.97923616154,0.75,0.077,2.43378485420562e-203,"6","FCGBP"
"63",6.73340843972308e-131,4.47847404554121,0.415,0.031,2.2687546396803e-126,"6","CD1D"
"64",5.32227705395657e-124,3.99445405164479,0.453,0.042,1.79328803056013e-119,"6","TMIGD3"
"65",4.98588361831562e-123,3.98747818515269,0.61,0.094,1.67994362635526e-118,"6","RSAD2"
"66",5.49259099092478e-111,4.47390007644559,0.356,0.027,1.85067360848219e-106,"6","AIM2"
"67",1.01012906311561e-101,5.05816462194065,0.517,0.081,3.40352886526172e-97,"6","CXCL10"
"68",4.9574157473157e-101,4.57455223125038,0.343,0.028,1.67035166190055e-96,"6","ANKRD22"
"69",4.81296303758722e-92,4.30593390295574,0.318,0.026,1.62167976588464e-87,"6","CX3CR1"
"70",1.56282360340996e-91,4.28590697911454,0.284,0.019,5.26577784932952e-87,"6","P2RY13"
"71",1.97205949386943e-234,5.80591907893098,0.612,0.019,6.64465725864367e-230,"7","CLDN6"
"72",2.37771647560062e-195,6.09775758635341,0.433,0.009,8.01147789288874e-191,"7","LINC01615"
"73",1.27949277062929e-186,7.17352831297763,0.321,0.002,4.31112294135834e-182,"7","TUNAR"
"74",8.152976380211e-174,6.80811688242686,0.313,0.003,2.74706386154829e-169,"7","GRXCR1"
"75",1.44716092467231e-149,6.29983405458986,0.381,0.011,4.87606401959087e-145,"7","C6orf15"
"76",1.06206945096523e-138,4.97297605450142,0.343,0.009,3.57853680808224e-134,"7","RGS20"
"77",4.78529279800807e-127,6.34360081259735,0.321,0.009,1.61235655536084e-122,"7","ORM2"
"78",4.19273600563364e-125,7.35461011561939,0.299,0.007,1.4127004697382e-120,"7","ORM1"
"79",1.19720313319068e-94,4.5046741541225,0.552,0.061,4.03385623697269e-90,"7","S100A2"
"80",1.92053009598403e-78,4.48192722338423,0.336,0.024,6.47103410540859e-74,"7","SLC6A14"
"81",5.12194207745325e-197,4.88409671501493,0.906,0.076,1.7257871635771e-192,"8","MKI67"
"82",9.83319125271545e-187,4.92135798398532,0.769,0.051,3.31319546068994e-182,"8","GTSE1"
"83",3.90951832282173e-182,4.66836150475348,0.769,0.053,1.31727310369155e-177,"8","RRM2"
"84",2.22893953104759e-179,4.61888998970324,0.641,0.032,7.51018885591174e-175,"8","ASPM"
"85",2.44788941937655e-148,4.85366466203874,0.444,0.016,8.24791860964734e-144,"8","CASC5"
"86",1.65840458686877e-146,4.69753744399596,0.513,0.024,5.58782841499563e-142,"8","CKAP2L"
"87",4.44679218690077e-145,4.60111122038296,0.513,0.025,1.49830215945434e-140,"8","NCAPH"
"88",9.74174579621616e-136,4.86740280465615,0.47,0.022,3.28238382857707e-131,"8","ESCO2"
"89",3.29416425900629e-83,5.16634800296961,0.274,0.012,1.10993570542958e-78,"8","E2F8"
"90",5.19158264442297e-77,5.1803272855544,0.316,0.019,1.74925185621188e-72,"8","HIST1H1D"
"91",7.45255472979496e-217,4.94079173668998,0.855,0.051,2.51106379065711e-212,"9","PBK"
"92",5.3464793456989e-189,5.09462282185024,0.836,0.06,1.80144275073979e-184,"9","NUF2"
"93",2.66671090686128e-178,5.21545588440608,0.755,0.05,8.9852157295784e-174,"9","NEK2"
"94",3.415115578768e-134,4.68365544992106,0.564,0.035,1.15068904311009e-129,"9","TTK"
"95",8.27124445352941e-133,4.62835669272627,0.573,0.037,2.7869131061722e-128,"9","BUB1"
"96",1.60434679275297e-131,4.82245495374044,0.682,0.058,5.40568608350187e-127,"9","PLK1"
"97",3.2205959232608e-125,4.68228586958953,0.509,0.029,1.08514759038349e-120,"9","SKA1"
"98",3.80602011528415e-123,4.42028334171814,0.618,0.049,1.28240041764384e-118,"9","CENPA"
"99",5.86527735902474e-119,4.47716521060496,0.555,0.039,1.97624655334979e-114,"9","CDCA8"
"100",8.13931314946218e-102,4.73156362680081,0.809,0.128,2.74246017257979e-97,"9","CENPF"
"101",2.39833948116251e-257,8.34531159897512,0.579,0.009,8.08096504782898e-253,"10","KRT5"
"102",2.13987627833355e-134,7.77247269701749,0.284,0.004,7.21009913221707e-130,"10","CALML3"
"103",5.47814858930676e-127,6.16942769485576,0.516,0.027,1.84580738568102e-122,"10","BBOX1"
"104",2.58921506881717e-101,5.49686008805101,0.337,0.012,8.72410125287259e-97,"10","RP11-817J15.2"
"105",3.89693480019319e-78,5.64265436641474,0.358,0.021,1.31303321157709e-73,"10","PIGR"
"106",1.08399756176836e-74,5.46987856117509,0.274,0.011,3.65242138462233e-70,"10","LY6D"
"107",3.0951500851086e-65,5.58335410443387,0.495,0.058,1.04287986967649e-60,"10","CCL28"
"108",1.18485174136188e-49,5.39095179111794,0.505,0.073,3.9922394573447e-45,"10","FABP7"
"109",2.74335940235477e-38,5.82066170753401,0.411,0.066,9.24347517029416e-34,"10","PTN"
"110",3.18452278182735e-28,6.49799757180329,0.495,0.138,1.07299310610891e-23,"10","LTF"
"111",8.51378606105602e-243,9.47474058261709,0.524,0.007,2.86863507541222e-238,"11","COL10A1"
"112",4.47998147660771e-200,7.15113218377632,0.619,0.018,1.5094849587282e-195,"11","SULF1"
"113",1.04698272517074e-199,7.72375945030455,0.417,0.005,3.5277035941903e-195,"11","FOXS1"
"114",1.05127270095921e-182,7.26402944398011,0.607,0.021,3.54215823861197e-178,"11","INHBA"
"115",8.23777813570688e-170,6.7749570336301,0.44,0.009,2.77563696504508e-165,"11","SGIP1"
"116",7.11844704545449e-161,6.89937842267597,0.405,0.008,2.39848954749544e-156,"11","EDIL3"
"117",1.94547679918312e-141,9.3661186786543,0.25,0.001,6.55508952716759e-137,"11","PLN"
"118",1.00265226575928e-125,7.58999249810823,0.25,0.002,3.37833654424932e-121,"11","CDH6"
"119",2.88619934132272e-93,8.13065392739634,0.262,0.006,9.72476006065276e-89,"11","COX4I2"
"120",1.95991737818051e-71,7.83845919998334,0.643,0.089,6.60374561404139e-67,"11","MMP11"
"121",0,10.7705048576191,0.987,0.007,0,"12","ECSCR.1"
"122",0,9.52619575002391,0.936,0.008,0,"12","EMCN"
"123",0,9.77880648289921,0.936,0.016,0,"12","VWF"
"124",0,10.1955431393994,0.833,0.004,0,"12","CXorf36"
"125",0,9.97041747225393,0.692,0.001,0,"12","MYCT1"
"126",1.15138632557675e-305,9.56149868978939,0.846,0.02,3.87948108539829e-301,"12","CLDN5"
"127",5.37877288858328e-304,10.409678516018,0.526,0.002,1.81232373707925e-299,"12","MMRN1"
"128",1.4817505262762e-295,10.0319536144512,0.513,0.002,4.99261022323504e-291,"12","CCL14"
"129",3.46014478547921e-235,9.62925891674974,0.372,0.001,1.16586118401936e-230,"12","RAB3C"
"130",1.80906530679576e-178,10.3334012631341,0.628,0.022,6.09546464471764e-174,"12","ACKR1"
"131",4.2129285741501e-90,4.65754023948508,0.868,0.121,1.41950415377414e-85,"13","DSCC1"
"132",2.66596102103594e-82,4.54553985015093,0.579,0.05,8.98268906427851e-78,"13","CDC6"
"133",1.38728723833979e-79,4.28467533084761,0.816,0.119,4.6743256208621e-75,"13","CENPU"
"134",2.29596299307232e-79,4.18618160505218,0.961,0.187,7.73601770885787e-75,"13","TYMS"
"135",1.11655175562748e-77,4.34920194343534,0.526,0.042,3.76210948541123e-73,"13","CDC45"
"136",2.96725461140789e-77,4.24619292301591,0.961,0.197,9.99786768767775e-73,"13","MAD2L1"
"137",6.84970905013331e-73,4.45679730285554,0.632,0.072,2.30794096735192e-68,"13","E2F1"
"138",8.79178717573044e-58,4.20630338310358,0.724,0.128,2.96230477099062e-53,"13","BIRC5"
"139",2.09051015571271e-53,4.44546881246192,0.447,0.046,7.04376491865842e-49,"13","FAM64A"
"140",2.6231851270931e-45,4.30984459730412,0.289,0.021,8.83855996722748e-41,"13","PRSS2"
"141",9.76814617351335e-249,6.86710238193994,0.692,0.013,3.29127917170359e-244,"14","VSIG2"
"142",2.4284412583716e-179,8.9185921925862,0.292,0.001,8.18238997595726e-175,"14","CYP4F22"
"143",1.28779168825405e-134,7.54557570233505,0.277,0.002,4.33908531440319e-130,"14","C1orf168"
"144",2.36418560939775e-121,6.69218566509739,0.338,0.006,7.96588699230477e-117,"14","PTPRT"
"145",1.00398287236478e-108,6.13288691227824,0.615,0.037,3.3828198901459e-104,"14","NEK10"
"146",7.66821941373211e-103,5.63061156005941,0.415,0.015,2.5837298492629e-98,"14","COL4A5"
"147",9.27239881444337e-90,5.88770376081448,0.446,0.021,3.12424205653855e-85,"14","TSPAN1"
"148",2.88873677923129e-78,6.08625181429716,0.385,0.018,9.73330970394192e-74,"14","SHISA2"
"149",1.94964461598503e-77,5.92321652985649,0.354,0.015,6.56913256909996e-73,"14","PDE8B"
"150",1.53354890502454e-76,6.07398430819444,0.277,0.008,5.16713968058969e-72,"14","RP11-680F20.6"
"151",2.99842116420786e-317,7.91303414034208,0.872,0.01,1.0102880270682e-312,"15","TNNT3"
"152",4.74107136253803e-235,8.40291073864679,0.821,0.015,1.59745658489356e-230,"15","ADH1B"
"153",6.45304664483942e-178,6.79155006653306,0.897,0.028,2.1742895365122e-173,"15","TNXB"
"154",2.02281711233272e-175,9.65587256713377,0.256,0,6.81567997829388e-171,"15","GRIA1"
"155",5.14864159536597e-174,7.0898212450404,0.538,0.007,1.73478329914261e-169,"15","BMPER"
"156",2.27154997200894e-143,7.32081665614497,0.949,0.044,7.65376047568693e-139,"15","WISP2"
"157",7.67626079334495e-130,6.753640813046,0.385,0.005,2.58643931170965e-125,"15","KRT222"
"158",4.11234345999773e-104,6.9143720945094,0.436,0.01,1.38561300541164e-99,"15","CLEC3B"
